Date,Demand (MW),Temp_max,Temp_min,Humidity,Pressure,Wind_speed,Population Density
2/7/2013,622,32,27,78,1002,4,4358959
3/7/2013,620,33,27,79,1001,4,4358959
4/7/2013,626,31,26,81,1001,6,4358959
5/7/2013,593,32,26,80,1000,6,4358959
6/7/2013,609,31,27,85,1002,7,4358959
7/7/2013,627,32,26,86,1003,6,4358959
8/7/2013,638,34,26,84,1004,4,4358959
9/7/2013,627,32,28,77,1003,4,4358959
10/7/2013,639,33,26,77,1001,4,4358959
11/7/2013,619,33,27,78,1000,7,4358959
12/7/2013,620,31,26,79,1004,6,4358959
13/07/2013,635,31,25,80,1002,6,4358959
14/07/2013,633,31,25,81,1000,6,4358959
15/07/2013,647,33,26,82,1000,4,4358959
16/07/2013,652,32,27,81,1001,4,4358959
17/07/2013,647,30,26,80,999,4,4358959
18/07/2013,648,31,26,80,998,6,4358959
19/07/2013,610,32,25,81,997,4,4358959
20/07/2013,650,32,27,84,999,6,4358959
21/07/2013,628,33,26,83,999,6,4358959
22/07/2013,639,35,27,78,1000,4,4358959
23/07/2013,645,35,26,79,1001,4,4358959
24/07/2013,649,33,27,80,999,4,4358959
25/07/2013,665,34,26,81,998,6,4358959
26/07/2013,650,31,26,82,997,4,4358959
27/07/2013,644,26,26,83,999,6,4358959
28/07/2013,630,27,25,81,997,4,4358959
29/07/2013,647,31,25,82,998,4,4358959
30/07/2013,635,32,26,83,999,4,4358959
31/07/2013,639,32,26,84,998,4,4358959
